admission_id,gender,fee_range,fee_slab,loan,req_branch,alloted_branch,campus_req,campus_allotted,entrance_rank,admission_acceptance
EYNB2848,Female,53759.97,24213.42,No,Electrical Engineering,Computer Science,City Campus,Main Campus,701,No
RZPY8675,Female,50656.33,23718.99,No,Mechanical Engineering,Mechanical Engineering,Main Campus,City Campus,756,No
VOXT4226,Male,39396.75,37062.0,No,Mechanical Engineering,Information Technology,Suburban Campus,Main Campus,19,No
TNQH0223,Female,79309.07,21187.78,No,Computer Science,Computer Science,Main Campus,Suburban Campus,566,No
ODGS7045,Female,77877.36,45770.1,No,Electrical Engineering,Civil Engineering,Suburban Campus,City Campus,494,No
KFKX5687,Male,70630.95,32028.18,No,Electrical Engineering,Civil Engineering,City Campus,City Campus,54,No
JAJT8947,Male,30831.52,45710.03,Yes,Electrical Engineering,Information Technology,Suburban Campus,Suburban Campus,397,No
OPFF4036,Male,48010.28,47514.2,No,Computer Science,Computer Science,Main Campus,Suburban Campus,785,No
KEMD6035,Male,32287.71,23869.53,No,Electrical Engineering,Civil Engineering,Main Campus,Main Campus,387,No
AQDM0323,Male,70377.89,31001.97,No,Electrical Engineering,Computer Science,City Campus,Suburban Campus,713,No
TJTV2005,Female,46276.26,45345.07,No,Electrical Engineering,Information Technology,Suburban Campus,City Campus,129,No
ZJQU6791,Male,52215.31,48561.35,No,Mechanical Engineering,Computer Science,City Campus,Suburban Campus,441,No
ADDR5267,Female,60338.15,31210.49,No,Mechanical Engineering,Mechanical Engineering,Main Campus,Main Campus,719,No
EPTC8910,Male,50008.26,40466.03,No,Electrical Engineering,Mechanical Engineering,City Campus,Main Campus,438,No
IRYK7066,Male,60629.62,35178.27,No,Computer Science,Civil Engineering,City Campus,Main Campus,563,No
CUWP1973,Male,34068.46,27884.82,No,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,142,No
LJNI8819,Male,51395.81,46266.09,No,Mechanical Engineering,Electrical Engineering,Main Campus,Suburban Campus,119,No
QVSL7928,Female,76574.17,40476.67,No,Mechanical Engineering,Computer Science,City Campus,Main Campus,449,No
NMLT2880,Female,76542.23,38618.41,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Suburban Campus,121,No
WGMP3081,Male,79343.57,39316.0,No,Mechanical Engineering,Computer Science,Main Campus,Main Campus,919,No
FUIW7209,Male,72855.0,42231.28,No,Mechanical Engineering,Electrical Engineering,Main Campus,City Campus,631,No
CSMT6647,Male,75260.14,27344.5,No,Electrical Engineering,Civil Engineering,Main Campus,City Campus,926,No
CFRH5454,Female,66713.89,44637.05,No,Mechanical Engineering,Civil Engineering,Suburban Campus,Suburban Campus,377,No
TISH2111,Male,44693.15,20238.29,No,Mechanical Engineering,Mechanical Engineering,City Campus,City Campus,361,Yes
NTEF4795,Female,39753.85,45591.79,Yes,Electrical Engineering,Information Technology,Main Campus,City Campus,199,Yes
HCFF1052,Female,37158.07,28719.82,No,Mechanical Engineering,Information Technology,Suburban Campus,Suburban Campus,352,No
ZOSD8485,Female,56002.72,24746.17,No,Electrical Engineering,Electrical Engineering,City Campus,City Campus,448,Yes
MLEB9484,Male,58594.63,31978.41,No,Mechanical Engineering,Electrical Engineering,Suburban Campus,Main Campus,941,No
BQBD5391,Female,72840.13,22189.36,No,Electrical Engineering,Information Technology,Main Campus,Main Campus,60,No
TPUF5448,Male,55231.83,31646.69,No,Electrical Engineering,Mechanical Engineering,Main Campus,City Campus,244,No
ZHQP7922,Male,36393.07,33868.36,No,Computer Science,Information Technology,Suburban Campus,City Campus,238,No
REEB0452,Male,69841.04,22805.09,No,Mechanical Engineering,Civil Engineering,City Campus,City Campus,95,No
GSSL6976,Male,45067.42,33976.33,No,Electrical Engineering,Electrical Engineering,City Campus,Main Campus,603,No
RYLO6980,Male,63653.11,39274.53,No,Electrical Engineering,Electrical Engineering,City Campus,Main Campus,11,No
EHTO2166,Female,57437.33,47003.8,No,Electrical Engineering,Civil Engineering,Main Campus,City Campus,233,No
YNMC0432,Female,73739.29,33945.59,No,Computer Science,Computer Science,City Campus,City Campus,423,No
CZVO9962,Male,38402.64,22574.68,No,Electrical Engineering,Chemical Engineering,City Campus,City Campus,766,No
BTMQ9156,Male,52314.34,41953.34,No,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Suburban Campus,771,Yes
MCJI6836,Male,35783.93,47523.81,Yes,Computer Science,Electrical Engineering,City Campus,City Campus,910,Yes
HYVO4339,Male,63132.11,47674.72,No,Mechanical Engineering,Computer Science,Suburban Campus,Main Campus,828,No
KNZR5413,Male,42045.08,43046.5,Yes,Computer Science,Mechanical Engineering,City Campus,Main Campus,813,Yes
TQTF5946,Male,40582.04,25984.13,No,Electrical Engineering,Computer Science,City Campus,Suburban Campus,550,No
DZPG1550,Female,67662.63,29861.62,No,Electrical Engineering,Civil Engineering,City Campus,Main Campus,582,No
ZXLD8475,Male,62987.26,29518.55,No,Computer Science,Computer Science,Suburban Campus,Suburban Campus,47,Yes
HVZG5395,Male,34471.59,49893.15,Yes,Mechanical Engineering,Computer Science,Suburban Campus,Suburban Campus,822,No
WWHU4958,Female,51744.67,34588.85,No,Computer Science,Mechanical Engineering,Main Campus,Main Campus,16,No
HHPZ4153,Male,65788.26,41068.73,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Suburban Campus,895,No
OOLI1652,Female,38011.76,34286.58,No,Mechanical Engineering,Civil Engineering,Suburban Campus,Main Campus,738,No
UBTS8368,Female,76448.37,28351.25,No,Electrical Engineering,Information Technology,Main Campus,City Campus,256,No
ZMAN5884,Female,75132.43,21148.47,No,Computer Science,Information Technology,Suburban Campus,Suburban Campus,833,No
NLSK6149,Female,68315.44,24672.23,No,Mechanical Engineering,Information Technology,City Campus,City Campus,59,No
ISQW8833,Female,41018.8,34099.03,No,Computer Science,Chemical Engineering,Main Campus,Suburban Campus,79,No
STWA0699,Male,42881.43,39206.49,No,Mechanical Engineering,Mechanical Engineering,City Campus,Main Campus,59,No
TLCQ8469,Female,53815.12,29605.6,No,Mechanical Engineering,Mechanical Engineering,City Campus,Suburban Campus,130,No
BUHJ1557,Female,74875.54,20939.7,No,Mechanical Engineering,Electrical Engineering,Main Campus,City Campus,450,No
ECWQ2914,Female,36154.91,38032.32,Yes,Mechanical Engineering,Information Technology,Main Campus,City Campus,185,No
GGAU9614,Female,36787.82,31408.54,No,Electrical Engineering,Civil Engineering,Suburban Campus,Main Campus,290,No
IPQL2813,Male,56727.17,48093.79,No,Mechanical Engineering,Civil Engineering,Main Campus,Suburban Campus,45,No
MGOO9296,Female,66270.72,30844.78,No,Computer Science,Mechanical Engineering,Suburban Campus,City Campus,322,No
HORT0649,Male,34522.09,32903.29,No,Computer Science,Computer Science,Suburban Campus,Main Campus,359,No
HUPJ6667,Male,64589.23,34202.29,No,Mechanical Engineering,Electrical Engineering,Suburban Campus,Main Campus,617,No
RVQX6345,Male,73597.03,21622.33,No,Mechanical Engineering,Mechanical Engineering,Main Campus,Suburban Campus,671,No
TCHT1159,Female,76589.0,46040.62,No,Electrical Engineering,Electrical Engineering,Suburban Campus,Suburban Campus,912,Yes
NXVG8487,Male,68316.87,48579.35,No,Mechanical Engineering,Civil Engineering,City Campus,Suburban Campus,251,No
ICZD9879,Female,60033.97,40510.14,No,Computer Science,Computer Science,Suburban Campus,Main Campus,300,No
ZUJU0546,Male,62199.33,28095.44,No,Electrical Engineering,Information Technology,Suburban Campus,Main Campus,133,No
RPVY1208,Male,48850.52,39070.62,No,Electrical Engineering,Information Technology,Suburban Campus,Suburban Campus,621,No
OXFB8934,Male,65872.14,22507.74,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Suburban Campus,408,No
DYHM0814,Female,66800.12,22077.77,No,Electrical Engineering,Electrical Engineering,Main Campus,Suburban Campus,491,No
RTYK7140,Female,49082.53,32152.05,No,Electrical Engineering,Information Technology,City Campus,Suburban Campus,674,No
MKYA3498,Female,62105.11,28950.1,No,Computer Science,Mechanical Engineering,Main Campus,City Campus,126,No
CROZ3311,Male,58095.0,41366.2,No,Mechanical Engineering,Electrical Engineering,Main Campus,City Campus,673,No
WLRQ5072,Male,72807.05,46138.67,No,Computer Science,Mechanical Engineering,Suburban Campus,Main Campus,79,No
DOBT2283,Male,70422.37,35743.34,No,Electrical Engineering,Information Technology,Main Campus,City Campus,79,No
DXAW1121,Female,41177.54,40089.33,No,Computer Science,Civil Engineering,Main Campus,City Campus,257,No
RAAU2310,Male,35784.5,27783.42,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Main Campus,961,No
TNTM7515,Female,34384.02,44916.47,Yes,Electrical Engineering,Civil Engineering,Suburban Campus,City Campus,557,Yes
YBUW5490,Male,34456.97,22773.24,No,Computer Science,Information Technology,City Campus,City Campus,211,No
MKRM9006,Male,67029.06,47049.25,No,Computer Science,Electrical Engineering,Main Campus,Suburban Campus,507,No
BHQO3954,Male,76860.53,30260.57,No,Computer Science,Electrical Engineering,City Campus,Suburban Campus,723,No
PCSW6772,Male,67230.89,42595.28,No,Mechanical Engineering,Information Technology,City Campus,City Campus,753,No
LFIL4046,Female,35805.31,24936.0,No,Computer Science,Electrical Engineering,Suburban Campus,Suburban Campus,833,No
JDXB8007,Male,48386.85,30478.29,No,Mechanical Engineering,Mechanical Engineering,City Campus,Suburban Campus,366,No
VOPO3136,Male,72666.52,32573.03,No,Computer Science,Information Technology,City Campus,Main Campus,920,No
TWSZ6352,Male,77703.43,34264.98,No,Mechanical Engineering,Computer Science,Suburban Campus,City Campus,938,No
RFCV3758,Female,58845.84,40664.91,No,Computer Science,Information Technology,Suburban Campus,Suburban Campus,880,No
VZVP6098,Female,30083.92,24820.67,No,Mechanical Engineering,Computer Science,City Campus,Main Campus,226,No
GESI3085,Female,33094.25,40900.7,Yes,Mechanical Engineering,Chemical Engineering,Main Campus,Main Campus,455,Yes
KDQA7243,Female,56780.15,30640.77,No,Computer Science,Chemical Engineering,City Campus,Suburban Campus,731,No
JSUO0016,Female,72355.93,40787.04,No,Mechanical Engineering,Chemical Engineering,City Campus,Suburban Campus,310,No
RHRM4271,Male,78992.47,31674.14,No,Computer Science,Mechanical Engineering,Suburban Campus,City Campus,965,No
LHRM6035,Female,45982.15,20297.95,No,Electrical Engineering,Electrical Engineering,Main Campus,City Campus,376,No
AHFD2307,Female,48251.19,43492.17,No,Computer Science,Electrical Engineering,Suburban Campus,Suburban Campus,799,No
EJSN8808,Male,63965.11,37913.86,No,Mechanical Engineering,Electrical Engineering,City Campus,City Campus,565,No
BAXW5574,Female,69828.27,22334.26,No,Computer Science,Mechanical Engineering,Suburban Campus,Suburban Campus,300,No
CAIU6890,Male,55987.57,40038.87,No,Mechanical Engineering,Civil Engineering,City Campus,City Campus,890,No
VGPN3333,Female,60080.88,38495.37,No,Electrical Engineering,Mechanical Engineering,Main Campus,City Campus,670,No
ENCN9378,Male,41107.08,29711.98,No,Computer Science,Mechanical Engineering,Main Campus,Suburban Campus,251,No
VGDF6761,Male,49765.62,49591.04,No,Computer Science,Information Technology,Suburban Campus,Suburban Campus,540,No
UMTT4956,Female,56914.65,48169.07,No,Computer Science,Electrical Engineering,City Campus,Suburban Campus,915,No
QWQD0432,Male,53030.14,42285.09,No,Computer Science,Electrical Engineering,Suburban Campus,Main Campus,274,No
BNIL0808,Female,37235.04,42101.58,Yes,Mechanical Engineering,Information Technology,City Campus,Main Campus,327,Yes
WPNM5784,Male,77144.5,29495.46,No,Electrical Engineering,Civil Engineering,Suburban Campus,City Campus,715,No
VQIM1018,Male,71860.83,24515.19,No,Electrical Engineering,Civil Engineering,City Campus,City Campus,555,No
ISNE2445,Female,54991.63,33759.77,No,Mechanical Engineering,Mechanical Engineering,City Campus,City Campus,516,No
EJHK3576,Female,52789.23,24424.6,No,Computer Science,Mechanical Engineering,Main Campus,Suburban Campus,107,No
BCRH7698,Female,60073.27,45929.04,No,Electrical Engineering,Computer Science,City Campus,City Campus,56,No
IPDJ9635,Female,37293.53,23408.21,No,Electrical Engineering,Computer Science,Main Campus,Main Campus,355,No
YIJU8687,Male,63267.54,49099.28,No,Computer Science,Civil Engineering,Suburban Campus,Suburban Campus,923,No
RNQL3312,Female,70064.59,32191.6,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Suburban Campus,421,No
YMFD0817,Male,65148.34,35620.75,No,Computer Science,Information Technology,City Campus,Suburban Campus,723,No
VWAI7131,Female,59944.02,20110.31,No,Mechanical Engineering,Chemical Engineering,Suburban Campus,Suburban Campus,974,No
VUVE4462,Female,45444.57,33516.77,No,Mechanical Engineering,Electrical Engineering,City Campus,City Campus,637,No
LHTL5384,Female,79516.76,44975.32,No,Mechanical Engineering,Information Technology,Suburban Campus,City Campus,498,No
VJYZ4235,Male,36173.2,23771.52,No,Mechanical Engineering,Civil Engineering,Suburban Campus,City Campus,287,No
ZVUD2685,Female,79842.43,33479.86,No,Computer Science,Computer Science,Suburban Campus,Suburban Campus,81,Yes
CVWH7291,Female,65326.11,49083.73,No,Mechanical Engineering,Information Technology,Main Campus,Suburban Campus,209,No
LYFL3005,Female,53914.14,22923.38,No,Mechanical Engineering,Chemical Engineering,City Campus,Suburban Campus,934,No
GZJA9867,Female,71434.37,26558.68,No,Mechanical Engineering,Mechanical Engineering,Main Campus,City Campus,141,No
DHVS1740,Male,54751.28,49370.96,No,Computer Science,Computer Science,Suburban Campus,Main Campus,862,No
CGVO7512,Female,65207.02,32605.28,No,Mechanical Engineering,Chemical Engineering,City Campus,City Campus,1000,No
HBKU4195,Female,48835.43,36382.59,No,Computer Science,Mechanical Engineering,Suburban Campus,Suburban Campus,534,No
ANGD4624,Male,79057.14,24983.03,No,Electrical Engineering,Electrical Engineering,City Campus,Main Campus,237,No
RCZB5595,Male,46657.23,31326.7,No,Computer Science,Chemical Engineering,Main Campus,City Campus,313,No
KMQZ2073,Male,71394.23,30442.57,No,Electrical Engineering,Computer Science,Main Campus,City Campus,760,No
TQUT3058,Female,40530.65,48571.31,Yes,Electrical Engineering,Mechanical Engineering,Main Campus,City Campus,567,Yes
EUMS6807,Female,66632.91,49152.34,No,Computer Science,Chemical Engineering,Suburban Campus,Main Campus,216,No
LHBF0959,Male,70520.93,37305.09,No,Electrical Engineering,Mechanical Engineering,Main Campus,City Campus,126,No
OGTE3783,Female,65020.37,20431.13,No,Computer Science,Information Technology,City Campus,City Campus,382,No
DJXT8394,Female,32628.32,44413.38,Yes,Computer Science,Electrical Engineering,Main Campus,City Campus,743,No
MYNU7068,Female,73271.59,20485.74,No,Mechanical Engineering,Electrical Engineering,Suburban Campus,Main Campus,836,No
OICR3646,Male,38951.01,46899.65,Yes,Computer Science,Computer Science,City Campus,Suburban Campus,807,Yes
JBWJ9299,Male,54375.23,35062.56,No,Mechanical Engineering,Information Technology,Suburban Campus,Main Campus,146,No
BQJU6916,Male,49590.39,46032.74,No,Electrical Engineering,Information Technology,Main Campus,City Campus,37,No
UABU3356,Male,79219.48,40979.51,No,Electrical Engineering,Information Technology,Main Campus,City Campus,241,No
RYJT5536,Female,62962.52,39467.35,No,Mechanical Engineering,Computer Science,Main Campus,Suburban Campus,716,No
GCTM3522,Male,72425.91,33679.92,No,Computer Science,Mechanical Engineering,Main Campus,Suburban Campus,451,No
LZHX4184,Female,79553.16,32311.6,No,Electrical Engineering,Mechanical Engineering,City Campus,Suburban Campus,666,No
XLCR8330,Male,57397.15,30566.34,No,Mechanical Engineering,Information Technology,Main Campus,City Campus,783,No
OXWS9675,Female,46870.51,36274.01,No,Electrical Engineering,Information Technology,Suburban Campus,City Campus,465,No
DFDU0538,Female,63894.93,35695.09,No,Computer Science,Civil Engineering,Suburban Campus,Main Campus,976,No
OPCI9757,Female,79515.71,42952.43,No,Computer Science,Information Technology,Main Campus,Suburban Campus,117,No
VBZQ4638,Male,67885.71,23401.4,No,Mechanical Engineering,Chemical Engineering,City Campus,City Campus,22,No
UQEZ4901,Female,49553.15,25274.41,No,Electrical Engineering,Electrical Engineering,Main Campus,City Campus,511,No
DEIS3988,Female,56392.22,32851.51,No,Computer Science,Mechanical Engineering,City Campus,Main Campus,857,No
GQOD3551,Male,44151.99,25306.85,No,Mechanical Engineering,Computer Science,Suburban Campus,City Campus,35,No
YERS6858,Male,64818.82,37846.75,No,Electrical Engineering,Electrical Engineering,Main Campus,Main Campus,277,Yes
ABQO6746,Female,39754.61,36282.89,No,Computer Science,Civil Engineering,City Campus,Main Campus,285,No
MQHY4862,Female,72812.61,31446.9,No,Computer Science,Computer Science,Main Campus,City Campus,603,No
BBLM2637,Male,49688.62,45352.75,No,Electrical Engineering,Computer Science,Main Campus,City Campus,394,No
TWZD3534,Female,36545.03,40656.52,Yes,Mechanical Engineering,Civil Engineering,Main Campus,Suburban Campus,308,No
GGCH3628,Female,67613.32,33124.81,No,Computer Science,Mechanical Engineering,City Campus,Main Campus,848,No
EIPI7454,Female,59019.18,28497.45,No,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,989,No
IAYN9230,Female,70253.59,38611.29,No,Mechanical Engineering,Mechanical Engineering,City Campus,Main Campus,87,No
MWRM5848,Male,72490.49,47754.07,No,Electrical Engineering,Mechanical Engineering,City Campus,Main Campus,62,No
STJK5150,Male,65479.38,45709.92,No,Electrical Engineering,Electrical Engineering,City Campus,Main Campus,286,No
NTHZ6193,Female,52876.63,49860.9,No,Computer Science,Civil Engineering,Suburban Campus,City Campus,876,No
UIYT1550,Male,38184.72,44178.19,Yes,Electrical Engineering,Computer Science,Main Campus,Suburban Campus,625,Yes
DIML6536,Female,36878.05,23114.36,No,Mechanical Engineering,Mechanical Engineering,Main Campus,Main Campus,394,Yes
EZTH3857,Female,64797.78,39488.74,No,Electrical Engineering,Mechanical Engineering,Suburban Campus,City Campus,508,No
HVJR9577,Female,44554.08,38487.81,No,Mechanical Engineering,Electrical Engineering,Suburban Campus,Main Campus,20,No
RAMZ7757,Female,37241.14,32338.39,No,Mechanical Engineering,Computer Science,City Campus,Main Campus,884,No
PEQQ8160,Female,40906.82,34892.15,No,Electrical Engineering,Electrical Engineering,Suburban Campus,City Campus,392,No
YCAI1647,Male,67419.13,42551.8,No,Computer Science,Information Technology,City Campus,City Campus,394,No
XWTB1236,Male,66765.94,47816.87,No,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,455,No
NIEX3377,Female,30456.63,22991.06,No,Computer Science,Civil Engineering,Suburban Campus,City Campus,46,No
QSPE2529,Male,66297.88,33323.1,No,Mechanical Engineering,Civil Engineering,Main Campus,Suburban Campus,230,No
HHFS3397,Male,58784.1,37437.01,No,Computer Science,Mechanical Engineering,Main Campus,Main Campus,211,No
HDRJ9898,Female,63915.89,20979.07,No,Electrical Engineering,Electrical Engineering,Suburban Campus,Main Campus,389,No
HHSJ4242,Female,79424.21,28697.13,No,Computer Science,Chemical Engineering,Suburban Campus,City Campus,189,No
OYSD6526,Male,37380.27,32619.23,No,Mechanical Engineering,Computer Science,Suburban Campus,Main Campus,676,No
NQBK7170,Female,77519.91,26686.38,No,Computer Science,Information Technology,City Campus,Main Campus,442,No
OYKY8419,Male,51355.55,33638.9,No,Mechanical Engineering,Chemical Engineering,City Campus,City Campus,546,No
IQXC5579,Female,72083.0,31432.39,No,Mechanical Engineering,Information Technology,Main Campus,City Campus,54,No
XEWE9934,Female,76299.27,25866.81,No,Electrical Engineering,Electrical Engineering,Suburban Campus,Suburban Campus,677,No
YZYW0519,Female,34802.39,34087.23,No,Computer Science,Information Technology,Main Campus,Suburban Campus,313,No
HZOM9841,Female,78707.94,23733.22,No,Computer Science,Chemical Engineering,Suburban Campus,Main Campus,33,No
CELG1775,Male,38981.64,49028.48,Yes,Electrical Engineering,Mechanical Engineering,City Campus,City Campus,555,Yes
TEWX8506,Male,32623.61,47420.88,Yes,Computer Science,Computer Science,City Campus,Main Campus,782,Yes
EDIG2279,Female,79013.84,32388.04,No,Mechanical Engineering,Information Technology,Main Campus,Suburban Campus,357,No
HSAQ6013,Female,62504.89,44612.54,No,Computer Science,Chemical Engineering,Suburban Campus,Suburban Campus,960,No
KNXS3192,Female,59669.62,41115.05,No,Mechanical Engineering,Chemical Engineering,Main Campus,City Campus,27,No
PFDD7645,Male,78486.35,42234.59,No,Electrical Engineering,Electrical Engineering,Suburban Campus,Suburban Campus,932,Yes
MNRF2780,Female,61348.63,20228.15,No,Mechanical Engineering,Civil Engineering,Main Campus,City Campus,624,No
LSCO0555,Female,50199.7,31239.31,No,Computer Science,Electrical Engineering,Main Campus,Suburban Campus,773,No
DIND2505,Male,31699.64,26718.1,No,Computer Science,Civil Engineering,Main Campus,Main Campus,915,No
VLNL0487,Male,42042.77,28508.13,No,Computer Science,Chemical Engineering,Main Campus,City Campus,345,No
KVTP0309,Female,54431.29,46388.21,No,Electrical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,945,No
YBYA4779,Female,64399.21,27934.97,No,Electrical Engineering,Civil Engineering,Suburban Campus,Main Campus,849,No
QKZJ8936,Male,77727.77,45154.53,No,Electrical Engineering,Civil Engineering,Main Campus,Suburban Campus,930,No
ROQJ1557,Male,62639.85,43854.15,No,Mechanical Engineering,Civil Engineering,Main Campus,Main Campus,269,No
FAAH6558,Female,48768.58,32441.5,No,Mechanical Engineering,Chemical Engineering,Suburban Campus,Main Campus,830,No
GJHY7184,Male,64589.74,27246.63,No,Electrical Engineering,Civil Engineering,Suburban Campus,Main Campus,772,No
TWAF1057,Male,69766.26,47005.62,No,Electrical Engineering,Civil Engineering,Suburban Campus,Main Campus,606,No
BTKG2805,Male,62925.94,32436.7,No,Electrical Engineering,Chemical Engineering,Main Campus,City Campus,222,No
